,ID,Flow,unitHeadloss,Headloss,Node1,Node2,Diameter,Length
0,2,-310.42,0.16,0.01,50,49,200,67
4,6,-365.56,0.22,0.01,52,51,200,66
12,15,-77.18,0.35,0.05,55,57,100,142
13,16,-87.82,0.45,0.05,55,53,100,104
15,18,-90.95,0.48,0.03,53,54,100,69
16,19,725.98,0.11,0.02,54,51,300,134
17,20,823.93,0.13,0.00,46,54,300,18
19,22,-41.81,0.11,0.01,39,47,100,100
22,25,47.19,0.14,0.01,40,39,100,121
24,27,-61.77,0.23,0.01,43,45,100,70
25,28,885.18,0.15,0.02,45,46,300,129
27,31,-367.48,0.22,0.01,41,42,200,46
28,32,47.98,0.15,0.01,42,43,100,102
29,33,-454.46,0.32,0.02,42,44,200,69
30,34,1004.95,0.19,0.02,44,45,300,107
31,35,1468.41,0.39,0.01,38,44,300,13
34,38,62.70,0.24,0.03,33,36,100,143
36,40,63.65,0.25,0.03,34,37,100,143
37,41,-77.97,0.36,0.03,34,35,100,68
38,42,1515.07,0.42,0.06,35,38,300,144
40,44,-335.48,0.18,0.00,68,41,200,17
41,45,60.66,0.23,0.01,32,33,100,33
45,49,-53.88,0.18,0.01,30,29,100,65
46,50,-148.61,1.19,0.08,29,28,100,66
47,51,1600.04,0.46,0.08,28,35,300,177
48,52,49.72,0.16,0.03,29,34,100,175
49,53,65.78,0.26,0.03,26,31,100,113
50,54,-1832.36,0.59,0.12,26,27,300,204
51,55,1835.36,0.59,0.00,69,27,300,5
52,56,1833.64,0.59,0.06,69,28,300,106
53,57,1714.58,0.52,0.01,26,25,300,19
54,58,1604.32,0.46,0.03,25,24,300,58
55,59,1232.22,0.28,0.00,24,23,300,13
56,60,882.24,0.15,0.02,23,22,300,117
57,61,287.11,0.14,0.03,24,21,200,194
58,62,64.25,0.25,0.05,25,20,100,209
59,64,51.08,0.16,0.02,20,19,100,82
63,68,287.29,0.14,0.01,21,18,200,77
67,73,329.98,0.18,0.02,23,15,200,120
70,76,45.04,0.13,0.01,15,13,100,70
71,77,0.10,0.11,0.02,13,12,10,148
72,78,50.19,0.16,0.01,11,12,100,75
74,80,38.94,0.10,0.01,13,14,100,52
75,81,49.42,0.15,0.02,22,14,100,115
76,82,46.37,0.14,0.02,14,10,100,147
80,87,-42.92,0.12,0.00,7,5,100,25
85,92,814.82,0.13,0.00,22,2,300,21
86,93,687.74,0.10,0.01,2,1,300,105
87,94,84.08,0.41,0.04,2,70,100,82
90,96,0.15,0.25,0.03,65,62,10,110
93,99,-48.17,0.15,0.02,66,65,100,125
94,100,-68.88,0.29,0.03,66,68,100,98
97,103,361.03,0.21,0.01,81,82,200,69
111,117,42.13,0.12,0.01,92,89,100,78
116,122,-49.65,0.16,0.03,77,78,100,189
117,123,-375.59,0.23,0.01,78,82,200,31
120,126,-47.82,0.15,0.01,73,72,100,92
123,129,-238.40,0.10,0.01,74,71,200,96
127,133,50.29,0.16,0.01,12,10,100,57
129,135,3669.00,2.14,0.00,94,93,300,1
130,136,3669.00,15.41,0.25,93,69,200,16
